partner,Date,Casey,Casey,CML,CML,IDC,IDC,Jason,Jason,Ken,Ken,LAN MLN,LAN MLN,Patterson,Patterson,Phil,Phil,Travis,Travis
ownership,,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS
1830,2011-03-09,0.0,0.0,2.9322049999999997,1.2445636500000004,58.321493299999986,33.465961910000004,0.0,0.0,215.58995048,160.13530666999998,21.408504489999995,2.25720724,223.30933079000002,146.56206171000002,26.30907571,14.552561630000003,0.0,0.0
1831,2011-03-10,0.0,0.0,2.09595674,1.7311188700000002,45.21694496,35.55006866,0.0,0.0,186.62679225000002,151.53021837999998,17.607389639999997,0.9798985599999999,190.48432404,156.90720999,21.14652561,18.329630499999997,0.0,0.0
1832,2011-03-11,0.0,0.0,2.1594507800000002,2.0820306299999998,44.52955681,42.623236379999994,0.0,0.0,175.15701437,176.43934699,22.74250752,1.21876491,189.56854287,186.25668536,21.168623380000003,21.66844551,0.0,0.0
1833,2011-03-12,0.0,0.0,2.11306373,2.4161707800000003,42.741221079999995,54.53653971,0.0,0.0,168.52231866,238.65413818,16.93388589,1.59154003,182.48222283,239.92259418999998,19.737878480000003,27.088714409999998,0.0,0.0
1834,2011-03-13,0.0,0.0,2.1493367200000004,2.77062162,43.247885440000005,68.00060953999999,0.0,0.0,163.79007021,306.40024456,17.488742669999997,1.28714795,179.49454446000001,298.18796425999994,19.869041539999998,32.28059442000001,0.0,0.0
1835,2011-03-14,0.0,0.0,2.11536798,2.8507481999999995,41.39394849,67.46369476999999,0.0,0.0,153.67143687,289.73473439,22.63328204,17.947321679999998,175.76023643,295.63459135,19.64770001,33.15777069,0.0,0.0
1836,2011-03-15,0.0,0.0,3.04108842,2.9439833699999998,58.364068020000005,65.40934406999999,0.0,0.0,212.53178304000005,281.87154261,33.54779969,14.73201284,247.12866087,285.37804317,27.747837600000004,30.877737649999997,0.0,0.0
1837,2011-03-16,0.0,0.0,2.4393177099999996,2.11549469,46.45786650000001,49.914415559999995,0.0,0.0,158.89928210999994,220.60139157999998,23.92318315,2.62054583,181.49621224,216.68691426,21.252672800000003,23.40947883,0.0,0.0
1838,2011-03-17,0.0,0.0,2.67482266,1.79306884,52.07189594,51.79239875,0.0,0.0,186.11163285000003,244.41389086999996,29.100231179999998,5.7452751200000005,220.02875858999997,227.66834906,25.993310230000006,24.206014550000003,0.0,0.0
1839,2011-03-18,0.0,0.0,3.0997629900000003,2.05565118,60.79619201,54.971625290000006,0.07512609,0.0,227.25760400000001,259.06753418,24.192247970000004,13.85299181,252.17085852000002,240.71686485,28.070775979999997,24.011794640000005,0.0,0.0
