well_id,well_name,date,oil,gas,water
3850.005,Thompson #2,1/6/2020,13.4,62,26.7
3850.012,Tlapek #1,1/6/2020,5,0,1.7
3850.006,Triple J #2,1/6/2020,1.4,0,0
8650.006,Trotter #1,1/6/2020,10,0,0
3855.01,Vermillion #1,1/6/2020,0,0,1.4
8650.005,Verna #1,1/6/2020,1.7,0,0
3855.008,White Marlin #1,1/6/2020,6.7,0,15
3855.013,Whittington #1,1/6/2020,5,0,1.7
4035.007,Aaron #1,1/7/2020,78.3,7,156.7
4035.004,Aniken #1,1/7/2020,20.4,0,0
3855.014,Anna Louisa #1,1/7/2020,3.3,0,195.1
9450.003,Annpick #1,1/7/2020,0,15,0
6725.001,Barrier #1,1/7/2020,0,27,19.8
4035.006,Beeler Ranch #1,1/7/2020,9.6,108,8.1
9750.002,Bermuda #1,1/7/2020,20,0,48.4
9555.005,Big Sonny #1,1/7/2020,20,0,0
9455.008,Blackmon #1,1/7/2020,50.1,128,18.4
9555.001,Blas Reyes #1,1/7/2020,1.6,276,0
7450.004,Bond #1,1/7/2020,8.4,0,11.7
9125.001,CT #1,1/7/2020,304.9,1049,3.3
